,number,pos_match_num,group_match_num,field_match_num,pos_match_per,group_match_per,field_match_per,datetime_start,datetime_complete,duration,alpha,beta,gamma,k,only_content_feature,top_n_feature,top_n_target,window_size,state
25,25,37.0,4.0,1.0,0.053857350800582245,0.005822416302765648,0.001455604075691412,2022-08-03 07:59:59.491600,2022-08-03 08:04:17.553281,0 days 00:04:18.061681,0.6,0.8,0.6,100,True,2000,500,3,COMPLETE
26,26,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 08:04:17.553564,2022-08-03 08:08:09.840080,0 days 00:03:52.286516,0.2,0.4,0.2,100,False,3000,1000,2,COMPLETE
27,27,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 08:08:09.840357,2022-08-03 08:16:35.799903,0 days 00:08:25.959546,0.4,0.6000000000000001,0.4,100,True,3000,1000,3,COMPLETE
28,28,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 08:16:35.800974,2022-08-03 08:53:34.533270,0 days 00:36:58.732296,0.6,0.8,0.6,100,True,3000,1000,2,COMPLETE
29,29,8.0,4.0,4.0,0.38095238095238093,0.19047619047619047,0.19047619047619047,2022-08-03 08:53:34.533713,2022-08-03 08:55:26.843479,0 days 00:01:52.309766,0.2,0.8,0.6,100,True,3000,500,2,COMPLETE
30,30,18.0,5.0,5.0,0.3673469387755102,0.10204081632653061,0.10204081632653061,2022-08-03 08:55:26.843808,2022-08-03 08:56:53.089219,0 days 00:01:26.245411,0.2,0.6000000000000001,0.6,100,False,2000,500,3,COMPLETE
31,31,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 08:56:53.089467,2022-08-03 09:01:29.656829,0 days 00:04:36.567362,0.4,0.4,0.6,100,False,3000,1000,2,COMPLETE
32,32,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 09:01:29.657280,2022-08-03 09:05:58.500748,0 days 00:04:28.843468,0.4,0.4,0.4,100,False,3000,1000,2,COMPLETE
33,33,283.0,65.0,37.0,0.5136116152450091,0.11796733212341198,0.06715063520871144,2022-08-03 09:05:58.501533,2022-08-03 09:07:44.667453,0 days 00:01:46.165920,0.4,0.4,0.4,100,False,2000,500,2,COMPLETE
34,34,370.0,93.0,62.0,0.5449189985272459,0.13696612665684832,0.09131075110456553,2022-08-03 09:07:44.668560,2022-08-03 09:12:01.175261,0 days 00:04:16.506701,0.4,0.4,0.6,100,False,2000,1000,2,COMPLETE
35,35,340.0,77.0,45.0,0.5362776025236593,0.12145110410094637,0.07097791798107256,2022-08-03 09:12:01.175527,2022-08-03 09:13:55.280570,0 days 00:01:54.105043,0.4,0.6000000000000001,0.4,100,False,3000,500,2,COMPLETE
36,36,8.0,4.0,4.0,0.38095238095238093,0.19047619047619047,0.19047619047619047,2022-08-03 09:13:55.280845,2022-08-03 09:17:44.888012,0 days 00:03:49.607167,0.2,0.6000000000000001,0.6,100,False,2000,1000,2,COMPLETE
37,37,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 09:17:44.889773,2022-08-03 09:22:10.059861,0 days 00:04:25.170088,0.4,0.4,0.2,100,False,3000,1000,2,COMPLETE
38,38,340.0,77.0,45.0,0.5362776025236593,0.12145110410094637,0.07097791798107256,2022-08-03 09:22:10.060196,2022-08-03 09:24:04.619921,0 days 00:01:54.559725,0.4,0.6000000000000001,0.6,100,False,3000,500,2,COMPLETE
39,39,370.0,93.0,62.0,0.5449189985272459,0.13696612665684832,0.09131075110456553,2022-08-03 09:24:04.620188,2022-08-03 09:28:20.602950,0 days 00:04:15.982762,0.4,0.6000000000000001,0.4,100,False,2000,1000,2,COMPLETE
40,40,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 09:28:20.603253,2022-08-03 09:32:06.306425,0 days 00:03:45.703172,0.2,0.4,0.6,100,False,3000,1000,2,COMPLETE
41,41,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 09:32:06.306687,2022-08-03 09:36:33.103418,0 days 00:04:26.796731,0.4,0.6000000000000001,0.2,100,False,3000,1000,2,COMPLETE
42,42,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 09:36:33.103888,2022-08-03 09:40:16.181137,0 days 00:03:43.077249,0.4,0.6000000000000001,0.6,100,True,3000,500,3,COMPLETE
43,43,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 09:40:16.181398,2022-08-03 10:18:40.746285,0 days 00:38:24.564887,0.6,0.8,0.6,100,True,2000,1000,2,COMPLETE
44,44,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 10:18:40.748157,2022-08-03 10:27:16.054746,0 days 00:08:35.306589,0.4,0.6000000000000001,0.4,100,False,3000,1000,3,COMPLETE
45,45,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 10:27:16.055889,2022-08-03 10:31:58.234917,0 days 00:04:42.179028,0.4,0.8,0.2,100,True,3000,1000,2,COMPLETE
46,46,1281.0,123.0,62.0,0.4552238805970149,0.04371002132196162,0.02203269367448472,2022-08-03 10:31:58.236099,2022-08-03 10:54:10.017516,0 days 00:22:11.781417,0.6,0.6000000000000001,0.6,100,False,3000,1000,3,COMPLETE
47,47,340.0,77.0,45.0,0.5362776025236593,0.12145110410094637,0.07097791798107256,2022-08-03 10:54:10.027340,2022-08-03 10:57:02.362373,0 days 00:02:52.335033,0.4,0.8,0.4,100,True,2000,500,2,COMPLETE
48,48,29.0,9.0,9.0,0.4393939393939394,0.13636363636363635,0.13636363636363635,2022-08-03 10:57:02.364447,2022-08-03 11:01:25.489605,0 days 00:04:23.125158,0.2,0.4,0.6,100,False,3000,1000,3,COMPLETE
49,49,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 11:01:25.492930,2022-08-03 11:07:30.784575,0 days 00:06:05.291645,0.4,0.6000000000000001,0.6,100,True,3000,1000,2,COMPLETE
50,50,37.0,4.0,1.0,0.16444444444444445,0.017777777777777778,0.0044444444444444444,2022-08-03 11:07:30.785348,2022-08-03 11:08:54.209250,0 days 00:01:23.423902,0.6,0.8,0.2,100,False,3000,500,3,COMPLETE
51,51,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 11:08:54.209658,2022-08-03 11:18:16.497133,0 days 00:09:22.287475,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
52,52,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 11:18:16.497760,2022-08-03 11:27:30.977785,0 days 00:09:14.480025,0.4,0.8,0.6,100,True,3000,1000,3,COMPLETE
